title,year,source,score
Avengers: Infinity War,2018,Metacritic,68/100
Avengers: Infinity War,2018,TMDB,8.237
Deadpool 2,2018,IMDb,7.6
Deadpool 2,2018,Rotten Tomatoes,83%
Deadpool 2,2018,Metacritic,66/100
Deadpool 2,2018,TMDB,7.491
Cloak & Dagger (Season 1),2018,IMDb,
Cloak & Dagger (Season 1),2018,Rotten Tomatoes,
Cloak & Dagger (Season 1),2018,Metacritic,
Cloak & Dagger (Season 1),2018,TMDB,
Luke Cage (Season 2),2018,IMDb,
Luke Cage (Season 2),2018,Rotten Tomatoes,
Luke Cage (Season 2),2018,Metacritic,
Luke Cage (Season 2),2018,TMDB,
Ant-Man and the Wasp,2018,IMDb,7.0
Ant-Man and the Wasp,2018,Rotten Tomatoes,87%
Ant-Man and the Wasp,2018,Metacritic,70/100
Ant-Man and the Wasp,2018,TMDB,6.902
Iron Fist (Season 2),2018,IMDb,
Iron Fist (Season 2),2018,Rotten Tomatoes,
Iron Fist (Season 2),2018,Metacritic,
Iron Fist (Season 2),2018,TMDB,
Venom,2018,IMDb,6.6
Venom,2018,Rotten Tomatoes,31%
Venom,2018,Metacritic,35/100
Venom,2018,TMDB,6.826
Daredevil (Season 3),2018,IMDb,
Daredevil (Season 3),2018,Rotten Tomatoes,
Daredevil (Season 3),2018,Metacritic,
Daredevil (Season 3),2018,TMDB,
Runaways (Season 2),2018,IMDb,
Runaways (Season 2),2018,Rotten Tomatoes,
Runaways (Season 2),2018,Metacritic,
Runaways (Season 2),2018,TMDB,
Spider-Man: Into the Spider-Verse,2018,IMDb,8.4
Spider-Man: Into the Spider-Verse,2018,Rotten Tomatoes,97%
Spider-Man: Into the Spider-Verse,2018,Metacritic,87/100
Spider-Man: Into the Spider-Verse,2018,TMDB,8.393
The Punisher (Season 2),2019,IMDb,
The Punisher (Season 2),2019,Rotten Tomatoes,
The Punisher (Season 2),2019,Metacritic,
The Punisher (Season 2),2019,TMDB,
Captain Marvel,2019,IMDb,6.7
Captain Marvel,2019,Rotten Tomatoes,79%
Captain Marvel,2019,Metacritic,64/100
Captain Marvel,2019,TMDB,6.781
Cloak & Dagger (Season 2),2019,IMDb,
Cloak & Dagger (Season 2),2019,Rotten Tomatoes,
Cloak & Dagger (Season 2),2019,Metacritic,
Cloak & Dagger (Season 2),2019,TMDB,
Avengers: Endgame,2019,IMDb,8.4
Avengers: Endgame,2019,Rotten Tomatoes,94%
Avengers: Endgame,2019,Metacritic,78/100
Avengers: Endgame,2019,TMDB,8.238
Jessica Jones (Season 3),2019,IMDb,
Jessica Jones (Season 3),2019,Rotten Tomatoes,
Jessica Jones (Season 3),2019,Metacritic,
Jessica Jones (Season 3),2019,TMDB,
Dark Phoenix,2019,IMDb,5.7
Dark Phoenix,2019,Rotten Tomatoes,22%
Dark Phoenix,2019,Metacritic,43/100
Dark Phoenix,2019,TMDB,5.967
Legion (Season 3),2019,IMDb,
Legion (Season 3),2019,Rotten Tomatoes,
Legion (Season 3),2019,Metacritic,
Legion (Season 3),2019,TMDB,
Spider-Man: Far From Home,2019,IMDb,7.3
Spider-Man: Far From Home,2019,Rotten Tomatoes,91%
Spider-Man: Far From Home,2019,Metacritic,69/100
Spider-Man: Far From Home,2019,TMDB,7.395
Runaways (Season 3),2019,IMDb,
Runaways (Season 3),2019,Rotten Tomatoes,
Runaways (Season 3),2019,Metacritic,
Runaways (Season 3),2019,TMDB,
Helstrom (Season 1),2020,IMDb,
Helstrom (Season 1),2020,Rotten Tomatoes,
Helstrom (Season 1),2020,Metacritic,
Helstrom (Season 1),2020,TMDB,
The New Mutants,2020,IMDb,5.3
The New Mutants,2020,Rotten Tomatoes,36%
The New Mutants,2020,Metacritic,43/100
The New Mutants,2020,TMDB,6.1
Agents of S.H.I.E.L.D. (Season 7),2020,IMDb,
Agents of S.H.I.E.L.D. (Season 7),2020,Rotten Tomatoes,
Agents of S.H.I.E.L.D. (Season 7),2020,Metacritic,
Agents of S.H.I.E.L.D. (Season 7),2020,TMDB,
WandaVision,2021,TMDB,8.189
The Falcon and the Winter Soldier,2021,TMDB,7.597
Loki (Season 1),2021,IMDb,
Loki (Season 1),2021,Rotten Tomatoes,
Loki (Season 1),2021,Metacritic,
Loki (Season 1),2021,TMDB,
Black Widow,2021,IMDb,6.6
Black Widow,2021,Rotten Tomatoes,79%
Black Widow,2021,Metacritic,68/100
Black Widow,2021,TMDB,7.168
What If...? (Season 1) (animated),2021,IMDb,
What If...? (Season 1) (animated),2021,Rotten Tomatoes,
What If...? (Season 1) (animated),2021,Metacritic,
What If...? (Season 1) (animated),2021,TMDB,
Shang-Chi and the Legend of the Ten Rings,2021,IMDb,7.3
Shang-Chi and the Legend of the Ten Rings,2021,Rotten Tomatoes,92%
Shang-Chi and the Legend of the Ten Rings,2021,Metacritic,71/100
Shang-Chi and the Legend of the Ten Rings,2021,TMDB,7.495
Venom: Let There Be Carnage,2021,IMDb,5.9
Venom: Let There Be Carnage,2021,Rotten Tomatoes,58%
Venom: Let There Be Carnage,2021,Metacritic,49/100
Venom: Let There Be Carnage,2021,TMDB,6.745
Hawkeye,2021,TMDB,7.789
Eternals,2021,IMDb,6.2
Eternals,2021,Rotten Tomatoes,47%
Eternals,2021,Metacritic,52/100
Eternals,2021,TMDB,6.8
Spider-Man: No Way Home,2021,IMDb,8.1
Spider-Man: No Way Home,2021,Rotten Tomatoes,93%
Spider-Man: No Way Home,2021,Metacritic,71/100
Spider-Man: No Way Home,2021,TMDB,7.934
Moon Knight,2022,TMDB,6.734
Morbius,2022,IMDb,5.1
Morbius,2022,Rotten Tomatoes,15%
Morbius,2022,Metacritic,35/100
Morbius,2022,TMDB,5.902
Doctor Strange in the Multiverse of Madness,2022,IMDb,6.9
Doctor Strange in the Multiverse of Madness,2022,Rotten Tomatoes,73%
Doctor Strange in the Multiverse of Madness,2022,Metacritic,60/100
Doctor Strange in the Multiverse of Madness,2022,TMDB,7.23
Ms. Marvel,2022,TMDB,6.8
Thor: Love and Thunder,2022,IMDb,6.1
Thor: Love and Thunder,2022,Rotten Tomatoes,63%
Thor: Love and Thunder,2022,Metacritic,57/100
Thor: Love and Thunder,2022,TMDB,6.369
I Am Groot (Season 1) (animated shorts),2022,IMDb,
I Am Groot (Season 1) (animated shorts),2022,Rotten Tomatoes,
I Am Groot (Season 1) (animated shorts),2022,Metacritic,
I Am Groot (Season 1) (animated shorts),2022,TMDB,
She-Hulk: Attorney at Law,2022,IMDb,5.2
She-Hulk: Attorney at Law,2022,TMDB,6.579
Werewolf by Night,2022,IMDb,7.1
Werewolf by Night,2022,Rotten Tomatoes,90%
Werewolf by Night,2022,TMDB,6.954
Black Panther: Wakanda Forever,2022,IMDb,6.6
Black Panther: Wakanda Forever,2022,Rotten Tomatoes,84%
Black Panther: Wakanda Forever,2022,Metacritic,67/100
Black Panther: Wakanda Forever,2022,TMDB,7.006
The Guardians of the Galaxy Holiday Special,2022,IMDb,6.9
The Guardians of the Galaxy Holiday Special,2022,Rotten Tomatoes,95%
The Guardians of the Galaxy Holiday Special,2022,TMDB,7.097
Ant-Man and the Wasp: Quantumania,2023,IMDb,6.0
Ant-Man and the Wasp: Quantumania,2023,Rotten Tomatoes,46%
Ant-Man and the Wasp: Quantumania,2023,Metacritic,48/100
Ant-Man and the Wasp: Quantumania,2023,TMDB,6.226
Moon Girl and Devil Dinosaur,2023,IMDb,7.5
Moon Girl and Devil Dinosaur,2023,TMDB,7.5
Secret Invasion,2023,IMDb,5.8
Secret Invasion,2023,TMDB,5.2
Guardians of the Galaxy Vol. 3,2023,IMDb,7.9
Guardians of the Galaxy Vol. 3,2023,Rotten Tomatoes,82%
Guardians of the Galaxy Vol. 3,2023,Metacritic,64/100
Guardians of the Galaxy Vol. 3,2023,TMDB,7.931
Spider-Man: Across the Spider-Verse,2023,IMDb,8.5
Spider-Man: Across the Spider-Verse,2023,Rotten Tomatoes,95%
Spider-Man: Across the Spider-Verse,2023,Metacritic,86/100
Spider-Man: Across the Spider-Verse,2023,TMDB,8.336
I Am Groot Season 2,2023,IMDb,
I Am Groot Season 2,2023,Rotten Tomatoes,
I Am Groot Season 2,2023,Metacritic,
I Am Groot Season 2,2023,TMDB,
The Marvels,2023,IMDb,5.5
The Marvels,2023,Rotten Tomatoes,63%
The Marvels,2023,Metacritic,50/100
The Marvels,2023,TMDB,5.939
Loki,2023,TMDB,7.595
What If...?,2023,TMDB,6.2
Echo,2024,TMDB,7.0
X-Men '97,2024,IMDb,8.7
X-Men '97,2024,TMDB,5.8
Deadpool & Wolverine,2024,IMDb,7.5
Deadpool & Wolverine,2024,Rotten Tomatoes,77%
Deadpool & Wolverine,2024,Metacritic,56/100
Deadpool & Wolverine,2024,TMDB,7.574
Agatha All Along,2024,IMDb,7.2
Agatha All Along,2024,TMDB,8.111
Your Friendly Neighborhood Spider-Man,2025,IMDb,7.5
Your Friendly Neighborhood Spider-Man,2025,TMDB,7.8
